plotID,Year,siteID,domainID,decimalLatitude,decimalLongitude,nlcdClass,Habitat,I,N,NI,c8To0Concentration,c10To0Concentration,c11To0Concentration,lipid2OH10To0Concentration,c12To0Concentration,c13To0Concentration,lipid2OH12To0Concentration,lipid3OH12To0Concentration,c14To1Concentration,c14To0Concentration,i14To0Concentration,i15To0Concentration,aC15To0Concentration,c15To0Concentration,c15To1Concentration,lipid2OH14To0Concentration,lipid3OH14To0Concentration,i16To0Concentration,cis16To1n9Concentration,c16To1n7Concentration,c16To1Cis11Concentration,c16To0Concentration,lipid10Methyl16To0Concentration,i17To0Concentration,c17To1Concentration,cyclo17To0Concentration,c17To0Concentration,c17To0AnteisoConcentration,c17To1n7Concentration,lipid2OH16To0Concentration,lipid10Methyl17To0Concentration,lipid10Methyl17To1Concentration,c18To1n13Concentration,c18To3n6Concentration,cis18To2n912Concentration,cis18To1n9Concentration,trans18To1n9Concentration,trans18To2n912Concentration,c18To3n3Concentration,c18To1n11Concentration,c18To0Concentration,lipid10Methyl18To0Concentration,lipid10Methyl18To1Concentration,cyclo19To0Concentration,c19To0Concentration,c19To1Cis10Concentration,c20To4n6Concentration,c20To5n3Concentration,c20To3n6Concentration,c20To2Concentration,c20To1Concentration,c20To3n3Concentration,c20To0Concentration,c21To0Concentration,c22To2Concentration,c22To1n9Concentration,c22To0Concentration,c22To6CisConcentration,c23To0Concentration,c24To1Concentration,c24To0Concentration,totalLipidConcentration,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,soilMoisture,soilInWaterpH
KONA_048,2019,KONA,D06,39.108044,-96.612665,cultivatedCrops,Cropland,19.83333333,,,NA,0,0,0,0,0,NA,NA,0,0.275,0.2,3.26125,1.99875,0.20375,0,NA,NA,1.375,1.5275,NA,0.85625,4.38375,3.65,0.99875,0,0.83875,0.22625,1.055,NA,0,0.24375,NA,NA,0,0.4225,1.81375,NA,NA,NA,1.8225,NA,1.05125,NA,3.53375,NA,NA,0.185,0,0.0175,0,0,NA,0.17125,0,0,0,0.07875,0,0,0,0.0825,30.2575,-0.633333333,-27.46,1.846666667,30.465,NA,0.225833333,6.128888889
KONA_054,2019,KONA,D06,39.111555,-96.611503,cultivatedCrops,Cropland,0.5,,,NA,0,0,0,0,0,NA,NA,0,0.262222222,0.126666667,3.027777778,1.611111111,0.214444444,0,NA,NA,1.345555556,1.821111111,NA,0.928888889,4.332222222,2.895555556,0.851111111,0,0.874444444,0.213333333,0.814444444,NA,0,0.196666667,NA,NA,0.018888889,0.497777778,1.722222222,NA,NA,NA,2.102222222,NA,0.86,NA,2.808888889,NA,NA,0.163333333,0.041111111,0,0,0.043333333,NA,0.162222222,0,0,0,0.09,0,0,0,0.087777778,28.10444444,0.780769231,-25.27307692,0.239615385,10.27961538,33.60384615,0.245055556,6.343333333
KONA_057,2019,KONA,D06,39.108366,-96.614399,cultivatedCrops,Cropland,14.83333333,,,NA,0,0,0,0.058888889,0,NA,NA,0,0.231111111,0.112222222,2.325555556,1.393333333,0.208888889,0,NA,NA,1.314444444,1.483333333,NA,0.612222222,3.513333333,2.298888889,0.792222222,0,0.737777778,0.164444444,0.845555556,NA,0,0.21,NA,NA,0,0.398888889,1.47,NA,NA,NA,1.432222222,NA,0.911111111,NA,2.587777778,NA,NA,0.05,0,0,0,0,NA,0.144444444,0,0,0,0.04,0,0,0,0.027777778,23.35777778,0.603703704,-25.57037037,0.497407407,16.07777778,30.68888889,0.244666667,6.2
STER_006,2017,STER,D10,40.463935,-103.035332,cultivatedCrops,Cropland,1,2,,0,0,0,0,0.116666667,0,0.151666667,0,0.416666667,0.563333333,0.061666667,2.638333333,2.74,0.416666667,0,0.048333333,0,1.573333333,2.801666667,NA,1.5,4.623333333,0.648333333,0.646666667,0.368333333,1.48,0.191666667,6.713333333,NA,0.015,4.118333333,NA,NA,0,0.315,3.006666667,1.27,0,0.103333333,2.215,1.85,1.815,NA,0.881666667,NA,1.271666667,0.13,0.05,0,60.95166667,0,0,0.198333333,,0,0,0.183333333,0,0.053333333,0,0.166666667,106.3016667,4.175,-26.25,0.07,2.38,33.5,0.15475,6.91
STER_011,2017,STER,D10,40.461168,-103.031538,cultivatedCrops,Cropland,1.666666667,,,0,0,0,0,0,0.126666667,2.088888889,0,1.834444444,0.254444444,0.341111111,4.226666667,3.846666667,0.231111111,0,0.286666667,0,1.635555556,2.018888889,NA,3.088888889,5.342222222,0.23,3.092222222,1.825555556,1.113333333,0.066666667,0.236666667,NA,0.007777778,8.024444444,NA,NA,0,0.326666667,4.052222222,1.547777778,0,0.216666667,4.17,2.242222222,3.402222222,NA,3.21,NA,2.827777778,0.051111111,0.175555556,0,266.18,0.062222222,0.007777778,0.167777778,,0,0,0.111111111,0,0,0,0.226666667,328.8955556,3.866666667,-26.48650794,0.107857143,3.948492063,34.11111111,0.175555556,7.273333333
STER_012,2017,STER,D10,40.460053,-103.029801,cultivatedCrops,Cropland,9,3.5,,0,0,0,0,0,0,1.018888889,0,1.578888889,0,10.94444444,8.376666667,3.954444444,0.066666667,0,0.7,0,1.1,1.51,NA,2.267777778,3.434444444,0,4.116666667,1.771111111,0.98,0.218888889,0.086666667,NA,0.035555556,10.43555556,NA,NA,0,0,2.246666667,0.842222222,0,0.132222222,3.554444444,1.986666667,2.683333333,NA,3.501111111,NA,4.605555556,0,0.066666667,0,284.4922222,0.026666667,0.004444444,0,,0,0,0,0,0,0,0,356.7344444,2.825,-27.3,0.24,9.415,36.025,0.1935,7.367777778
STER_016,2017,STER,D10,40.463856,-103.030754,cultivatedCrops,Cropland,1.125,7.5,,0,0,0,0,0,0.057777778,0.457777778,0,1.267777778,0.343333333,0.262222222,4.125555556,4.461111111,0.293333333,0,0.205555556,0,1.746666667,2.315555556,NA,2.307777778,4.936666667,0.358888889,3.321111111,1.754444444,1.436666667,0.147777778,0,NA,0.026666667,7.83,NA,NA,0,0,3.288888889,1.623333333,0,0.097777778,2.776666667,2.191111111,3.656666667,NA,2.412222222,NA,3.424444444,0.146666667,0.132222222,0,273.2944444,0.015555556,0,0.158888889,,0,0,0.25,0,0.048888889,0,0.34,331.5155556,2.825,-27.3,0.24,9.415,36.025,0.172888889,7.038888889
STER_026,2017,STER,D10,40.474713,-103.0243,cultivatedCrops,Cropland,13.21666667,5.75,,0,0,0,0,0,0,0.926666667,0,1.345555556,0.238888889,0.315555556,2.482222222,4.012222222,0.217777778,0,0.231111111,0,1.448888889,1.954444444,NA,2.261111111,4.021111111,0.473333333,2.006666667,1.544444444,1.097777778,0.061111111,0.304444444,NA,0.017777778,4.851111111,NA,NA,0,0,2.58,1.32,0,0.338888889,2.764444444,2.228888889,3.125555556,NA,2.177777778,NA,2.902222222,0.053333333,0.167777778,0,216.9577778,0.081111111,0.007777778,0.146666667,,0,0,0.223333333,0,0,0,0.22,265.1077778,2.846296296,-27.08765432,0.265246914,10.39845679,33.65308642,0.153,7.222222222
STER_027,2017,STER,D10,40.480827,-103.018821,cultivatedCrops,Cropland,17.125,1.25,,0,0,0,0,0,0,0.467777778,0,2.773333333,0.7,0.79,4.024444444,6.29,0.074444444,0,0.203333333,0,1.434444444,2.764444444,NA,3.427777778,9.273333333,0.462222222,3.666666667,1.654444444,0.974444444,0.633333333,0.516666667,NA,0.062222222,10.66888889,NA,NA,0,0.211111111,4.917777778,1.857777778,0.07,0.353333333,4.861111111,4.951111111,5.328888889,NA,2.165555556,NA,2.376666667,0.321111111,0.281111111,0,116.4577778,0.144444444,0.096666667,0.405555556,,0,0,0.388888889,0,0.102222222,0.038888889,0.534444444,196.7277778,2.932716049,-26.69753086,0.301666667,11.74919753,29.23703704,0.153111111,7.535555556
STER_028,2017,STER,D10,40.473273,-103.018333,cultivatedCrops,Cropland,23.8375,1.5,,0,0,0,0,0,0.085555556,1.21,0,1.662222222,0.22,0.596666667,6.101111111,4.338888889,0.294444444,0,2.321111111,0,1.488888889,4.795555556,NA,1.717777778,4.803333333,0.345555556,5.381111111,1.224444444,0.974444444,0.168888889,2.366666667,NA,0.021111111,7.733333333,NA,NA,0,0.258888889,4.262222222,1.271111111,0,0.252222222,2.42,2.657777778,1.808888889,NA,0.102222222,NA,0.62,0.101111111,0.134444444,0,78.92,0.044444444,0,0.154444444,,0,0,0.131111111,0,0,0,0.108888889,141.0977778,2.92,-26.7,0.304,11.858,29.28,0.153222222,7.79
STER_029,2017,STER,D10,40.468561,-103.011749,cultivatedCrops,Cropland,14.58928571,2.8,,0,0,0,0,0,0,0.264444444,0,1.785555556,0,32.33111111,9.158888889,3.863333333,0.061111111,0,3.817777778,0,1.187777778,3.244444444,NA,0,5.102222222,0,4.897777778,0.665555556,0.835555556,0,3.712222222,NA,0.017777778,10.93,NA,NA,0,0.637777778,3.438888889,0.813333333,0,0.071111111,0,1.392222222,0,NA,0,NA,0,0.013333333,0.066666667,0,1.028888889,0,0.002222222,0,,0,0,0,0,0,0,0,89.34333333,3.457407407,-27.36049383,0.327098765,14.3295679,34.95493827,0.119388889,7.113333333
STER_031,2017,STER,D10,40.470725,-103.011685,cultivatedCrops,Cropland,14.10714286,1.666666667,0.5,0,0,0,0,0,0,0.05,0,1.665555556,6.145555556,0.514444444,6.702222222,3.4,0.641111111,0,3.348888889,0,1.483333333,4.28,NA,0.954444444,5.26,0.67,5.176666667,1.246666667,1.491111111,0,2.384444444,NA,0.01,6.975555556,NA,NA,0,0.604444444,4.57,0.98,0,0.662222222,1.108888889,2.025555556,0.77,NA,0.084444444,NA,0.381111111,0.47,0.501111111,0,1.047777778,0.213333333,0.414444444,0.808888889,,0,0,1.132222222,0,0.054444444,0,0.92,69.14444444,3.55,-27.45,0.3275,14.525,35.675,0.141294118,6.98
HARV_001,2021,HARV,D01,42.424246,-72.258285,deciduousForest,Deciduous Forest,,12.33333333,,NA,0,0,0.923333333,0.422222222,0,NA,NA,0.136666667,5.322222222,1.797777778,38.99222222,11.56111111,4.09,0,NA,NA,11.11777778,29.93777778,4.925555556,11.74111111,66.21222222,23.27111111,4.778888889,0.177777778,12.61111111,3.513333333,2.993333333,3.012222222,0.172222222,2.017777778,2.054444444,5.97,0.421111111,53.66222222,49.56,NA,NA,NA,37.69555556,NA,4.17,5.545555556,47.80555556,NA,0,5.245555556,1.884444444,1.405555556,0.614444444,1.35,NA,2.588888889,0.275555556,0,0.085555556,5.304444444,0.235555556,0.963333333,0.037777778,4.394444444,470.9811111,6.032765957,-24.44506438,0.396340426,7.440944206,15.55128205,1.652555556,4.152222222
HARV_001,2020,HARV,D01,42.424246,-72.258285,deciduousForest,Deciduous Forest,,18.54166667,,NA,0,0,0.471666667,0.361666667,0,NA,NA,0.146666667,3.468333333,1.211666667,31.03833333,8.72,2.598333333,0,NA,NA,9.553333333,22.295,NA,8.416666667,41.63333333,19.15,3.941666667,0.17,9.01,2.471666667,2.628333333,NA,0.27,1.661666667,NA,NA,0.181666667,26.445,38.46166667,NA,NA,NA,22.15666667,NA,3.306666667,NA,49.80833333,NA,NA,2.785,0.72,0.98,0.401666667,0.778333333,NA,1.156666667,0,0,0.256666667,1.84,0.016666667,0.505,0,1.655,320.81,5.583333333,-24.58846154,0.644358974,12.69423077,17.83717949,0.996166667,3.87
HARV_001,2018,HARV,D01,42.424246,-72.258285,deciduousForest,Deciduous Forest,,50.28333333,,0,0,0,0.1735,2.9805,0.6585,2.393571429,0,0.9175,4.455,0.312,13.8365,5.393,2.191,0,0,2.585714286,7.0605,11.133,NA,5.8745,24.7495,6.799,1.462,0.7425,5.63,2.1725,0.9585,NA,0.0555,6.462,NA,NA,1.0935,9.8035,21.0975,3.496428571,1.075714286,2.180714286,14.7625,6.294285714,2.878,NA,15.569,NA,14.14142857,2.2375,1.4585,0.2775,0.1435,0.8725,0.975714286,2.533,0.178333333,0.24,0.413,4.2785,0.421,1.495,1.2865,4.196,212.3255,6.040831758,-24.62226415,0.451663516,8.598981132,14.99283154,0.927722222,4.57
HARV_002,2021,HARV,D01,42.478565,-72.259572,deciduousForest,Deciduous Forest,,34.33333333,,NA,0,0,0.235555556,0.407777778,0,NA,NA,0.146666667,4.738888889,1.684444444,37.00444444,10.57222222,3.737777778,0,NA,NA,10.01222222,30.67666667,4.303333333,10.72333333,60.61666667,22.05666667,4.004444444,0,12.73333333,2.911111111,2.738888889,2.34,0.224444444,1.62,1.312222222,4.514444444,0.53,57.17777778,45.61888889,NA,NA,NA,34.26222222,NA,2.965555556,4.39,43.14777778,NA,0,5.998888889,2.844444444,1.643333333,0.761111111,1.348888889,NA,2.227777778,0.268888889,0,0.113333333,3.972222222,0.247777778,0.815555556,0.182222222,3.107777778,440.9288889,4.644029851,-27.08851852,0.391791045,8.318740741,23.46203704,2.313333333,4.23
HARV_002,2020,HARV,D01,42.478565,-72.259572,deciduousForest,Deciduous Forest,,54.91666667,,NA,0,0,0.641666667,0.383333333,0,NA,NA,0.153333333,4.128333333,1.48,34.54333333,10.77,3.066666667,0,NA,NA,9.906666667,26.37,NA,11.29833333,51.41333333,21.09833333,4.5,0,10.71833333,3.313333333,3.178333333,NA,0.33,1.56,NA,NA,0.698333333,35.445,48.96,NA,NA,NA,26.86333333,NA,4.09,NA,51.705,NA,NA,4.573333333,1.975,1.806666667,0.733333333,1.055,NA,1.551666667,0.391666667,0.055,0,3.181666667,0.16,0.763333333,0.055,3.985,387.01,4.789444444,-27.02234637,0.453166667,8.813631285,23.35625,1.236833333,3.796666667
HARV_002,2018,HARV,D01,42.478565,-72.259572,deciduousForest,Deciduous Forest,,75.0297619,,0,0,0,0.137058824,2.816470588,0.613529412,2.554545455,0,1.887647059,3.974705882,0.349411765,14.46882353,4.576470588,2.411176471,0,0,2.989090909,6.547647059,12.38705882,NA,5.937058824,26.92352941,6.144117647,1.16,1.055882353,6.785882353,2.298823529,1.264117647,NA,0.025294118,5.750588235,NA,NA,1.104705882,16.09235294,24.97058824,3.801818182,0.945454545,2.28,15.36941176,6.713636364,2.632352941,NA,16.5,NA,17.93727273,2.006470588,1.296470588,0.304705882,0.125882353,1.16,0.835454545,2.1,0.266666667,0.061764706,0.762941176,4.101764706,0.164705882,1.403529412,1.101764706,4.543529412,228.0688235,4.633201581,-27.11640316,0.411719368,8.098774704,23.73504902,1.032088235,4.675882353
HARV_005,2021,HARV,D01,42.489469,-72.275158,deciduousForest,Deciduous Forest,,55.075,0.5,NA,0,0,0.843333333,0.353333333,0,NA,NA,0.047777778,4.75,1.668888889,33.37444444,11.75,3.966666667,0,NA,NA,12.20444444,28.91333333,4.084444444,11.84,63.66444444,23.06888889,4.406666667,0,10.98777778,3.675555556,3.481111111,2.938888889,0.2,2.091111111,1.576666667,5.455555556,0.93,56.65222222,49.68888889,NA,NA,NA,33.46666667,NA,3.256666667,3.755555556,40.64888889,NA,0,7.642222222,3.055555556,1.968888889,1.234444444,1.496666667,NA,2.661111111,0.204444444,0,0,5.24,0.308888889,1.075555556,0,5.035555556,453.6488889,5.04,-26.58244275,0.431586207,7.926183206,25.24835165,2.408444444,4.015555556
HARV_005,2020,HARV,D01,42.489469,-72.275158,deciduousForest,Deciduous Forest,,101.1416667,,NA,0,0,0.616666667,0.488333333,0,NA,NA,0.331666667,4.878333333,1.733333333,40.86833333,12.50333333,3.441666667,0,NA,NA,12.46833333,29.50333333,NA,12.77666667,56.295,25.15166667,5.748333333,0,10.68666667,3.791666667,3.686666667,NA,0.326666667,1.895,NA,NA,0.46,34.13666667,52.845,NA,NA,NA,34.59,NA,5.498333333,NA,57.085,NA,NA,5.821666667,1.88,1.841666667,0.97,1.478333333,NA,1.53,0.078333333,0.111666667,0,2.836666667,0.158333333,0.798333333,0.031666667,3.233333333,432.9133333,4.807526882,-26.23763441,0.487526882,7.018387097,24.428125,1.185833333,3.971666667
HARV_005,2018,HARV,D01,42.489469,-72.275158,deciduousForest,Deciduous Forest,,164.9041667,,0,0,0,0.111111111,0.468888889,0.462777778,3.777272727,0,0.998888889,4.637777778,0.258888889,10.715,4.811111111,2.327222222,0,0,3.396363636,5.613333333,10.11166667,NA,5.902222222,24.18555556,5.281666667,1.034444444,0.796666667,5.06,2.382777778,1.381666667,NA,0.034444444,5.237777778,NA,NA,1.280555556,10.82055556,20.17666667,4.528181818,0.253636364,2.662727273,14.86611111,7.437272727,3.062222222,NA,13.19333333,NA,13.98545455,2.568333333,1.639444444,0.151666667,0.060555556,1.226666667,1.036363636,2.675555556,0.095714286,0.001111111,0.177222222,4.538888889,0.008333333,1.481666667,1.244444444,4.835,198.5116667,4.821754386,-26.5221843,0.470315789,7.224675768,23.43619048,1.455060606,4.755882353
HARV_033,2021,HARV,D01,42.538302,-72.175607,deciduousForest,Deciduous Forest,,19.54166667,,NA,0,0,0.562222222,0.391111111,0,NA,NA,0.09,4.23,1.673333333,35.40333333,11.88555556,3.1,0,NA,NA,10.87666667,30.38666667,4.411111111,10.61777778,51.44666667,22.62888889,4.071111111,0,8.58,3.7,3.116666667,4.083333333,0.062222222,1.764444444,1.632222222,4.881111111,0.798888889,43.76777778,46.1,NA,NA,NA,27.08444444,NA,2.706666667,2.726666667,39.88111111,NA,0,5.672222222,1.975555556,1.763333333,0.678888889,1.213333333,NA,2.538888889,0,0,0,5.204444444,0.126666667,0.777777778,0,3.523333333,406.1288889,5.055504587,-25.78224299,0.537568807,7.380794393,20.65648148,2.991888889,3.727777778
HARV_033,2020,HARV,D01,42.538302,-72.175607,deciduousForest,Deciduous Forest,,18,,NA,0,0,0.623333333,0.376666667,0,NA,NA,0.085,3.933333333,1.445,34.11333333,11.035,2.641666667,0,NA,NA,10.11666667,26.285,NA,11.15166667,46.92,21.23833333,4.615,0,8.668333333,3.48,3.27,NA,0.245,1.593333333,NA,NA,0.41,37.14,46.81666667,NA,NA,NA,32.85666667,NA,4.138333333,NA,49.31166667,NA,NA,5.33,1.655,2.026666667,0.786666667,1.136666667,NA,2.038333333,0.375,0,0.023333333,4.441666667,0.221666667,0.955,0,3.985,385.5883333,5.069230769,-25.55310345,0.544055944,7.239103448,20.7125,2.1935,3.813333333
HARV_033,2018,HARV,D01,42.538302,-72.175607,deciduousForest,Deciduous Forest,,12.1125,,0,0,0,0.13,2.585294118,1.061176471,4.2,0,1.187647059,5.379411765,0.252941176,11.45588235,5.187647059,2.641764706,0,0,4.013636364,5.802352941,9.846470588,NA,5.548823529,20.28823529,5.422941176,1.096470588,0.865294118,4.785882353,2.350588235,1.144117647,NA,0.017058824,6.22,NA,NA,1.481176471,9.367647059,18.65529412,3.906363636,0.384545455,2.835454545,13.62882353,7.719090909,2.828235294,NA,15.64941176,NA,11.57090909,2.588235294,1.536470588,0.18,0.146470588,1.153529412,1.068181818,3.133529412,0.065,0,0.852352941,5.484705882,1.034705882,1.962941176,1.441176471,5.3,202.9994118,5.074137931,-25.63292683,0.543497537,7.261731707,20.85686275,1.297441176,4.274705882
BLAN_001,2020,BLAN,D02,39.087919,-77.958389,deciduousForest,Deciduous Forest,25.825,41.65,,NA,0,0,0,0.036666667,0,NA,NA,0,1.008333333,1.328333333,8.218333333,5.495,0.583333333,0,NA,NA,2.835,7.028333333,NA,5.106666667,12.98833333,10.77333333,2.121666667,0,2.661666667,0.596666667,1.925,NA,0,0.391666667,NA,NA,0,2.758333333,6.863333333,NA,NA,NA,14.965,NA,2.638333333,NA,8.683333333,NA,NA,1.156666667,0.521666667,0.243333333,0.256666667,0.666666667,NA,0.355,0,0,0,0.348333333,0,0,0,0.3,102.8383333,3.616666667,-16.81666667,0.37,5.081666667,NA,0.191222222,6.605
