plotID,domainID,siteID,elevation,Ecosystem,plotType,CountOfsubplots,InvCover,NativeCover,InvFraction,SumOfMeanRootDiameter_s,SumOfMycorrhizalColonization_s,SumOfRootC_s,SumOfRootCNRatio_s,SumOfSpecificRootLength_s,SumOfRootN_s,SumOfRootMassFraction_s,SumOfRootDensity_s,AvgOfphH2o,AvgOfnitrogenTot,AvgOfctonRatio,AvgOfpOxalate,Allbacteria,Fungi,Ratio
STER_026,D10,STER,1360.8,Agroecosystem,distributed,6,52,11.5,0.818897638,12.67808218,2602.356092,21311.86034,542.7729533,3663.930078,249.8708542,12.232683,16.23401828,5.9,1.1,9,140.8,1.106333333,0.470833333,0.425579994
STER_028,D10,STER,1359.6,Agroecosystem,distributed,6,22.375,11.33333333,0.663782447,3.175098611,890.5238095,8286.319346,395.497217,1112.563436,138.1487668,4.813461655,3.867463129,5.7,1.1,7,132.1,1.715111111,0.433888889,0.252980047
STER_029,D10,STER,1353.3,Agroecosystem,distributed,6,45.75,28.33333333,0.617547807,8.271405416,2483.02381,20944.58663,749.7754837,2661.898828,305.9191779,12.1607265,11.4484461,6.5,1.6,8,165.1,3.289111111,0.343611111,0.104469293
STER_031,D10,STER,1353.3,Agroecosystem,distributed,6,35.83333333,9.166666667,0.796296296,9.096486112,2173.333333,16160.96506,273.6446031,2466.306959,150.2724413,9.845242142,13.58340372,6.5,1.6,8,165.1,1.639611111,0.628333333,0.383220953
DSNY_009,D03,DSNY,19,Agroecosystem,distributed,6,2,93.06666667,0.015719151,0.6397,165.8,,48.2,164,42.361675,0.38,0.18,4.3,1.6,17,23.9,0.580095238,0.252857143,0.435889016
SCBI_006,D02,SCBI,297.9,Agroecosystem,distributed,6,39.84166667,24.85,0.615870153,10.26592741,664.1050284,7332.574734,641.2780141,2065.643686,244.5953877,5.166284146,3.46555261,5.9,2.7,8,153,2.451194445,1.012916667,0.413233911
ONAQ_008,D15,ONAQ,1795.9,Evergreen forest,distributed,6,3,80.75,0.035820896,0.600115403,129.8541083,616.7130454,68.20123188,186.9981265,32.14260337,0.876383006,0.477301037,8.25,0.55,14.5,447.5,1.314097222,0.313703704,0.238721838
ONAQ_010,D15,ONAQ,1903.7,Evergreen forest,distributed,6,2.5,10.25,0.196078431,0.491501971,106.520775,421.6785661,44.56193919,73.81579746,26.89760337,0.659899212,0.332601498,7.9,1.1,10,383.4,2.236875,1.146111111,0.51237155
RMNP_019,D10,RMNP,2649.7,Evergreen forest,distributed,4,0.666666667,77.99166667,0.008421939,0.14481791,66.66666667,263.8011678,32.79393771,36.52595319,5.362803539,0.261241543,0.192932718,4.8,3.05,20,63.5,1.664583333,0.223333333,0.13416771
SOAP_031,D17,SOAP,1108.8,Evergreen forest,tower,5,2.2,68.35,0.031183558,,,,,,,0.784666667,,7.4,2.6,14,1589.1,0.494611111,0.398611111,0.805908121
SOAP_043,D17,SOAP,1247.6,Evergreen forest,tower,4,1.875,152,0.012185215,0.119314471,21.49600062,195.7832552,25.72643744,88.1550497,4.623867766,0.773660893,0.077176397,6.05,7.6,28.5,607.05,0.477444444,0.601388889,1.259599721
SOAP_044,D17,SOAP,1242,Evergreen forest,tower,3,1,63.1,0.015600624,0.119314471,20.5882353,208.1128311,29.70182365,15.60217151,3.503367901,0.390833334,0.077176397,6.25,8.85,27.5,994.5,0.5645,0.620555556,1.09930125
DCFS_063,D09,DCFS,563.3,Grassland,tower,5,4,100.2583333,0.027584622,0.711310803,126.9041667,418.5409682,25.54786495,566.9952744,18.83765343,1.130615885,0.787717335,6.6,5.1,10,328,6.903875,2.370333333,0.343333756
WOOD_001,D09,WOOD,596.3,Grassland,distributed,6,16.2,27.79166667,0.180350682,4.801519873,994.2619048,5378.342836,404.308755,2005.975856,174.8652843,6.007944136,3.220951562,7.1,2.2,11,235.4,4.990416667,1.366666667,0.273858228
WOOD_002,D09,WOOD,573.6,Grassland,distributed,6,19.25,19.03333333,0.243311565,5.066460929,1129.627778,6929.812882,295.3944521,2584.085584,287.3542296,6.700842184,3.316761604,7.5,3.8,10,234.5,2.993958333,0.797777778,0.266462552
WOOD_003,D09,WOOD,585.7,Grassland,distributed,6,33.13333333,59.75,0.282667425,12.80678492,1554.684921,12827.41959,302.3440112,3930.805098,274.4709176,10.05944314,3.635484413,7.666666667,12.93333333,10.66666667,342.7333333,2.687083333,0.995555556,0.370496718
WOOD_004,D09,WOOD,594.1,Grassland,distributed,6,15.1,35.59166667,0.174516036,3.829338288,902.1,5025.811647,598.3800266,1657.272195,151.545,4.983887716,3.455834033,7.1,2.2,11,235.4,2.97375,1,0.336275746
WOOD_042,D09,WOOD,584.5,Grassland,tower,6,6.1,21.5,0.054254373,1.831531801,364.95,1655.571118,120.6474221,780.8663908,53.67892384,2.394837628,1.523428777,5.9,4.1,11,220.5,3.519583333,0.673333333,0.191310524
WOOD_043,D09,WOOD,580.2,Grassland,tower,6,12.05,25.66666667,0.108591169,6.042072861,719.7990476,4891.659022,260.6750319,1442.174791,142.6474361,3.661160844,1.553077607,7.533333333,3.066666667,9.333333333,275.2,2.337291667,0.566666667,0.242445851
WOOD_044,D09,WOOD,586.4,Grassland,tower,6,7.225,50.74166667,0.07239479,3.165005539,460.1689286,2959.721101,179.7515007,745.0856684,87.99542813,2.356270451,1.117274666,7.866666667,2.1,6.666666667,169.2666667,2.333541667,0.808888889,0.346635717
MLBS_001,D07,MLBS,1310.9,Mixed forest,distributed,1,0.5,200.4666667,0.002487975,0.110341667,2.630952382,192.7155161,20.5308711,68.9722648,5.09168594,0.087351986,0.115791106,3.9,4.3,15,405.1,1.883888889,1.680555556,0.892067237
UNDE_006,D05,UNDE,530,Mixed forest,distributed,4,4.25,118.75,0.033552632,1.156680289,239.2278646,1631.552485,227.3454903,568.4555343,34.76054726,1.369119844,0.81050133,4.3,2.1,13,259.7,2.681,1.865333333,0.695760288
UNDE_043,D05,UNDE,525.7,Mixed forest,tower,3,1,84.525,0.011692488,0.223277222,61.6,427.8562821,41.42106945,201.6758153,12.4427204,0.448176662,0.225079105,4.6,2.4,15,124.4,2.853791666,1.747111111,0.612206957
UNDE_008,D05,UNDE,514.8,Mixed forest,distributed,2,1,63.75,0.015444015,0.258775204,61.95052084,432.0012423,52.05613834,184.2269338,10.62527363,0.359965293,0.219104873,4.3,2.1,13,259.7,2.900666667,1.483777778,0.511529917
MOAB_004,D13,MOAB,1762.9,Mixed forest,distributed,1,0.5,5.5,0.083333333,0.119314471,20.5882353,208.1128311,29.70182365,15.60217151,3.503367901,0.2125,0.077176397,8.2,0.4,6,44.6,1.992388889,0.582777778,0.292502022
MOAB_005,D13,MOAB,1768.1,Mixed forest,distributed,1,0.5,22.625,0.021621622,0.119314471,20.5882353,208.1128311,29.70182365,15.60217151,3.503367901,0.2125,0.077176397,7.9,0.5,9,78,2.2222,0.65125,0.293065431
MOAB_006,D13,MOAB,1760.6,Mixed forest,distributed,2,0.5,8.583333333,0.055045872,0.119314471,20.5882353,208.1128311,29.70182365,15.60217151,3.503367901,0.2125,0.077176397,8.2,0.4,6,44.6,1.736111111,0.249444445,0.14368
ONAQ_002,D15,ONAQ,1688,Mixed forest,distributed,6,2,11.16666667,0.151898734,0.311564471,73.7429972,208.1128311,29.70182365,39.44672702,18.9796179,0.414851146,0.195088413,8.45,1.05,8.5,638.85,0.871875,0.245185185,0.281215983
ONAQ_003,D15,ONAQ,1610.9,Mixed forest,distributed,6,2.5,5.166666667,0.326086957,0.183321763,40.40966387,416.6596603,44.37497236,111.845522,10.60977817,0.356823761,0.328298026,8.15,1.2,6.5,327.4,1.234166667,0.500555556,0.405581814
ONAQ_004,D15,ONAQ,1713.7,Mixed forest,distributed,6,2.166666667,14.66666667,0.128712871,0.299251971,78.5445845,421.6785661,44.56193919,49.97124195,11.42135337,0.457548067,0.214689482,8.45,1.05,8.5,638.85,0.757708333,0.382222222,0.504445056
ONAQ_005,D15,ONAQ,1614.4,Mixed forest,distributed,6,3.083333333,9.5,0.245033113,0.119314471,44.15966387,208.1128311,29.70182365,472.6021715,13.2033679,0.361347141,0.077176397,8.15,1.2,6.5,327.4,0.999479167,0.235555556,0.235678305
ONAQ_041,D15,ONAQ,1650.7,Mixed forest,tower,6,2.625,5.25,0.333333333,0.181464471,40.40966387,371.3308525,43.91969444,652.6920082,21.36825764,0.673363104,0.295311112,8.45,1.05,8.5,638.85,0.631666667,0.169259259,0.267956611
ONAQ_042,D15,ONAQ,1663.7,Mixed forest,tower,6,2,7,0.222222222,0.119314471,40.40966387,208.1128311,29.70182365,472.6021715,13.2033679,0.361347141,0.077176397,8.45,1.05,8.5,638.85,0.771770833,0.227222222,0.294416701
ONAQ_043,D15,ONAQ,1658,Mixed forest,tower,6,1.5,27.5,0.051724138,0.119314471,40.40966387,208.1128311,29.70182365,15.60217151,3.503367901,0.2125,0.077176397,8.45,1.05,8.5,638.85,0.806770833,0.206666667,0.256165268
SRER_001,D14,SRER,1172.1,Mixed forest,distributed,6,3.583333333,46.7,0.071262844,0.867037269,35.83333333,1584.309956,196.1119655,377.6191619,22.98604588,1.48516659,1.800078219,6.8,0.9,10,9.1,0.949166667,0.376666667,0.396839333
SRER_002,D14,SRER,1032,Mixed forest,distributed,3,1,36.25,0.026845638,0.324981945,32.185,435.7665055,51.62434731,62.23604585,7.632355239,0.303899214,0.251173705,5.3,0.4,5,0,0.315416667,0.095555556,0.302950243
SRER_003,D14,SRER,974.5,Mixed forest,distributed,5,1.5,104.8333333,0.014106583,0.362945834,15,663.1995165,82.09338092,158.0731376,9.622065717,0.621697643,0.753521115,7.6,0.4,8,32.3,0.249166667,0.054444444,0.218506131
SRER_004,D14,SRER,1044.5,Mixed forest,distributed,3,0.5,52.33333333,0.009463722,0.204,27.185,214.7,24.25988701,9.545,4.425,0.096666667,,8,1,8,42.9,0.9825,0.27,0.27480916
SRER_005,D14,SRER,1261.1,Mixed forest,distributed,6,7.333333333,14.91666667,0.329588015,1.774401853,73.33333333,3242.308747,401.3454178,772.8020058,47.04121017,3.039410697,3.683881007,5.4,0.5,13,49.6,0.907083333,0.323333333,0.356453836
SRER_006,D14,SRER,1048.6,Mixed forest,distributed,1,0.5,89.33333333,0.005565863,0.120981945,5,221.0665055,27.36446031,52.69104585,3.207355239,0.207232548,0.251173705,7.6,0.4,8,32.3,0.747708333,0.162222222,0.216959227
WOOD_024,D09,WOOD,586.6,Wetland,distributed,6,61.5,89.58333333,0.293859998,15.50344951,4469,22164.19275,2259.349409,6365.14317,819.4092583,24.25278681,14.26390162,7.8,10.03333333,11.33333333,319.1333333,7.688541667,2.215555556,0.288163302
UNDE_010,D05,UNDE,512.8,Wetland,distributed,1,51,67.29166667,0.431137725,5.3346,3366,,,9843.214338,823.905,9.883277556,11.3839345,4.575,20.575,24.25,425.45,10.65785156,2.805208333,0.263205799
UNDE_038,D05,UNDE,505.5,Wetland,tower,1,0.5,75.01666667,0.006621055,0.076166667,29,212.7012423,16.84664872,127.0836005,6.76527363,0.174482648,0.112735849,4.05,18.725,28,218.725,18.32325658,9.652105264,0.526768002
