plotID,domainID,siteID,elevation,Ecosystem,InvCover,NativeCover,InvFraction,AvgOfphH2o,AvgOfnitrogenTot,AvgOfctonRatio,AvgOfpOxalate,Allbacteria,Fungi,Ratio,AvgOfMeanRootDiameter,AvgOfMycorrhizalColonization,AvgOfRootC,AvgOfRootCNRatio,AvgOfSpecificRootLength,AvgOfRootN,AvgOfRootMassFraction,AvgOfRootDensity,traitsPC1,traitsPC2
SRER_006,D14,SRER,1048.6,Mixed forest,-0.733089718,1.163520659,-0.92320026,0.754435287,-0.619806224,-0.565389519,-0.898344679,-0.502847668,-0.46482842,-0.60492649,-0.341894959,-1.511535935,1.042885748,0.970398779,-0.189078572,-1.263333399,0.645502648,1.966498849,-2.860243911,-0.228463033
STER_006,D10,STER,1361.2,Agroecosystem,0.943261526,-0.438482439,0.81154665,-0.539464836,-0.422080241,-0.379417048,-0.398252018,-0.380062621,-0.439430361,-0.77287097,-0.154718287,-1.157315316,0.20033898,0.202630415,-0.220683779,-0.922945984,-0.880543655,0.606303505,-1.271997373,-1.103516077
STER_011,D10,STER,1362.6,Agroecosystem,1.589270053,-0.52290172,1.123455081,0.145541112,-0.298501502,-0.565389519,-0.364936914,-0.261886167,-0.147762331,0.240042861,-0.154718287,-1.157315316,0.20033898,0.202630415,-0.220683779,-0.922945984,-0.880543655,0.606303505,-1.271997373,-1.103516077
STER_012,D10,STER,1363.7,Agroecosystem,2.034934165,-0.766343368,1.562776346,0.145541112,-0.298501502,-0.565389519,-0.364936914,-0.034971965,-0.233583191,-0.561530226,-0.111014031,-0.831277679,0.498597942,0.536955531,-0.104834593,-0.955195494,-0.566926205,0.712145088,-1.445744038,-0.804672169
STER_016,D10,STER,1360.6,Agroecosystem,0.969428959,-0.697629999,1.247048683,-0.539464836,-0.422080241,-0.379417048,-0.398252018,-0.30959979,-0.243005051,-0.003078012,-0.154718287,-1.157315316,0.20033898,0.202630415,-0.220683779,-0.922945984,-0.880543655,0.606303505,-1.271997373,-1.103516077
STER_026,D10,STER,1360.8,Agroecosystem,1.793703132,-0.670144652,1.37666403,-0.539464836,-0.446795989,-0.379417048,-0.50112613,-0.378502345,-0.237270006,0.305855158,-0.106656155,-0.743680404,0.171584205,0.515414492,-0.436317502,-0.9593598,-0.431286357,0.13258506,-1.02365238,-0.923375523
STER_028,D10,STER,1359.6,Agroecosystem,0.340183944,-0.67407113,0.938043654,-0.69168838,-0.446795989,-0.751361989,-0.532976834,-0.167422054,-0.264511472,-0.447669366,-0.044446858,-0.688529082,0.924729673,0.063025575,-0.43589416,-0.676601451,-0.654576877,0.343939149,-1.112280187,-0.88436073
STER_029,D10,STER,1353.3,Agroecosystem,1.487053514,-0.273570356,0.80730562,-0.082794204,-0.32321725,-0.565389519,-0.41216382,0.378327791,-0.331078965,-1.096027011,-0.456472153,-0.688529082,0.143783452,-0.590552654,-0.532650778,-0.733412957,-0.984223897,0.919099117,-0.942037858,-1.150608436
STER_031,D10,STER,1353.3,Agroecosystem,1.000502787,-0.725115347,1.312754048,-0.082794204,-0.32321725,-0.565389519,-0.41216382,-0.193600017,-0.121135334,0.120927082,-0.305123469,-0.00472304,1.381089945,0.970398779,-0.404340362,-1.600018741,-0.146261435,1.437756398,-2.352686833,-0.710719386
UNDE_006,D05,UNDE,530,Mixed forest,-0.549099948,1.856544058,-0.844061866,-1.757253187,-0.199638511,0.364472832,-0.065833178,0.167478652,0.790982692,1.485388994,-0.325335059,0.73958556,0.933269354,-0.047768592,0.490173206,0.356602041,-0.276917679,-0.19134525,0.056021446,0.555630642
UNDE_008,D05,UNDE,514.8,Mixed forest,-0.708557749,0.560806258,-0.895267737,-1.757253187,-0.199638511,0.364472832,-0.065833178,0.243643233,0.509637745,0.681089195,-0.273346138,1.097787889,0.657158409,0.694032404,0.629929541,-0.13735228,0.10003022,-0.214282765,-0.144397188,0.674342303
UNDE_038,D05,UNDE,505.5,Wetland,-0.733089718,0.826236183,-0.920216486,-1.947532617,3.909354568,3.154059884,-0.215842671,5.591086725,6.532660175,0.747614539,-0.707367201,0.899364697,0.405936601,-1.204690072,1.356440555,0.639570697,-0.010065503,-0.165262391,0.767172853,1.419157192
UNDE_043,D05,UNDE,525.7,Mixed forest,-0.708557749,1.050241763,-0.905875958,-1.528917871,-0.125491267,0.736417772,-0.561166538,0.227390358,0.70381,1.120617828,-0.418090605,1.080182245,0.499355313,-0.405636457,0.811181417,0.348666021,0.982911769,-0.1682851,0.466455616,1.498191125
WOOD_001,D09,WOOD,596.3,Grassland,0.037214121,-0.28633141,-0.428959932,0.373876427,-0.174922763,-0.007472108,-0.154795489,0.968218035,0.423284345,-0.356520894,-0.055893587,0.908852038,-0.51136957,-0.85498999,0.335926269,0.58619347,0.743207624,-0.494790063,1.387727939,0.856082508
WOOD_002,D09,WOOD,573.6,Grassland,0.186859135,-0.492667838,-0.250924976,0.678323515,0.220529203,-0.193444578,-0.158090389,0.275990064,0.003806729,-0.388808408,-0.274365711,0.733583958,-0.759668034,-1.786618542,0.326405248,0.954139302,0.918703846,-0.363544111,1.800284701,1.100357588
WOOD_003,D09,WOOD,585.7,Grassland,0.868030152,0.466570782,-0.139638119,0.805176469,2.477900838,-0.069462931,0.238151892,0.169587914,0.149640744,0.065376525,0.028531722,0.9928119,0.174848872,-1.087044254,-0.022385596,0.247015647,0.861918629,-0.335795507,1.007772237,0.657913511
WOOD_004,D09,WOOD,594.1,Grassland,-0.016756211,-0.102572231,-0.445458604,0.373876427,-0.174922763,-0.007472108,-0.154795489,0.268983269,0.152917913,-0.084022951,-0.346569607,0.521306139,-0.73713845,-0.251487941,0.395422032,0.033529481,0.909932427,-0.341902164,0.703057824,0.838666805
WOOD_024,D09,WOOD,586.6,Wetland,2.259810551,1.169410376,-0.107988797,0.906658831,1.761144151,0.054518715,0.151752282,1.903733474,1.0492236,-0.294068823,-0.420109513,0.982777554,-0.029299154,0.136126674,0.511704538,1.107805475,1.032980225,-0.275710238,0.835276074,1.530445191
WOOD_042,D09,WOOD,584.5,Grassland,-0.458331661,-0.434555961,-0.7855234,-0.539464836,0.294676446,-0.007472108,-0.209344395,0.45823896,-0.087954,-0.716901766,-0.142747487,0.851996331,-0.780957189,-0.889072343,0.268905186,0.104580731,1.072984497,-0.243042816,1.148106811,0.816933436
WOOD_043,D09,WOOD,580.2,Grassland,-0.166401225,-0.336394007,-0.631874839,0.703694106,0.039280385,-0.317426225,-0.009087671,0.048305355,-0.166606052,-0.493658807,0.195272923,1.040767926,-0.07463474,-0.971618525,0.074175566,0.363369817,0.741288224,-0.524001457,1.289670326,0.598229718
WOOD_044,D09,WOOD,586.4,Grassland,-0.40313473,0.254344636,-0.734227608,0.957400013,-0.199638511,-0.813352812,-0.396909651,0.047005125,0.011999651,-0.038794129,0.249287416,1.009306231,-0.169978851,-1.199124472,0.046783178,0.407028172,0.564916681,-0.582783728,1.468685161,0.455656087
